telescope,filter,file,n_stars,median,mean,std,max,mad_sigma
dup,B,SN05bl_B_comb_dup.fits,18,1.2413064407685983,1.1658355841135364,0.6043848794372827,2.496065512891461,0.08111450998165733
dup,B,SN08hu_B_comb_dup.fits,25,1.2397817814851315,1.1929460030148349,0.2094649533614354,1.6199538170040928,0.3003154023459509
dup,B,ASAS14my_B_comb_dup.fits,24,1.2366379872457618,1.2462953783293689,0.6887585162284362,3.1433012948412205,0.03300886019008864
dup,B,SN2012U_B_comb_dup.fits,25,1.2328780698355115,1.4095546121427895,0.7462106561158312,4.913638445721851,0.028524943836691716
dup,B,ASAS15as_B_comb_dup.fits,25,1.2315957612932011,1.3995543085062407,0.4239601383046567,2.631960346866667,0.04230725041158767
dup,V,LSQ14wp_V_comb_dup.fits,24,1.2315147513207827,1.232635883856817,0.0658150156033764,1.3536069034197558,0.06021172216084421
dup,V,CSP12G_V_comb_dup.fits,25,1.2312845326535844,1.144886083041022,0.18220012085497664,1.3511573689236855,0.0763111575846181
swo,V,CSP13aao_V_comb_swo.fits,25,1.230721539318742,1.2536887916512354,0.265154918038129,1.819104254375396,0.340820953506843
dup,B,CSP13aap_B_comb_dup.fits,25,1.223840791067229,1.0516646968633743,0.7061890686509559,2.702562200179345,1.040605875399129
dup,V,LSQ15aja_V_comb_dup.fits,25,1.222101789037107,1.236442521752219,0.06262319788655828,1.335404763387283,0.08396117577524567
dup,V,PTF13efe_V_comb_dup.fits,25,1.220425061074169,1.2388255038720688,0.0588117810982693,1.4579281594021,0.0271334606609934
dup,B,SN2013hn_B_comb_dup.fits,25,1.2202904475443277,1.2864038037217853,0.3286368437163836,2.859522859956067,0.0190978098676721
dup,V,SN05iq_V_comb_dup.fits,25,1.2169628461718571,1.1871521266090206,0.30541825036631143,1.868550521135135,0.1626839805356212
dup,V,ASAS14kq_V_comb_dup.fits,25,1.2167672230529392,1.2424740319378844,0.27877858375684983,2.1413786970617763,0.018955212487504983
