object,telescope,filter,file,plate_scale,z,n_stars,fwhm_arcsec,sigma_min_arcsec,sigma_min_kpc,smallest_safe_grid_radius_kpc
SN05am,dup,B,SN05am_B_comb_dup.fits,0.23,0.008,23,1.4425093944219654,0.6125773379014219,0.10076370590617399,1.0
SN05am,dup,V,SN05am_V_comb_dup.fits,0.23,0.008,25,1.2509774851011963,0.5312412248829633,0.08738461454144873,1.0
SN05be,dup,B,SN05be_B_comb_dup.fits,0.23,0.034,17,1.252024357738169,0.5316857907593162,0.360207009347082,1.0
SN05be,dup,V,SN05be_V_comb_dup.fits,0.23,0.034,18,0.9697530330881341,0.4118161959485905,0.2789976390595021,1.0
SN05bg,dup,B,SN05bg_B_comb_dup.fits,0.23,0.023,16,1.2008279124460002,0.5099446622173703,0.23681462491422867,1.0
SN05bg,dup,V,SN05bg_V_comb_dup.fits,0.23,0.023,16,1.2272160239356127,0.5211506613956496,0.24201861014794826,1.0
SN05bl,dup,B,SN05bl_B_comb_dup.fits,0.23,0.024,14,1.2546900175059215,0.5328177922357676,0.2578838074626686,1.0
SN05bl,dup,V,SN05bl_V_comb_dup.fits,0.23,0.024,21,1.3930890895623087,0.5915904667543287,0.2863297814906981,1.0
SN05bo,dup,B,SN05bo_B_comb_dup.fits,0.23,0.014,24,1.0823473622743767,0.45963060513193116,0.13134763835331859,1.0
SN05bo,dup,V,SN05bo_V_comb_dup.fits,0.23,0.014,23,1.3838500896455024,0.5876670247332273,0.1679363275095109,1.0
SN05el,dup,B,SN05el_B_comb_dup.fits,0.23,0.015,23,1.1046623513901006,0.46910690849651826,0.14345697110963876,1.0
SN05el,dup,V,SN05el_V_comb_dup.fits,0.23,0.015,24,1.0796971571967484,0.4585051666580993,0.14021486628219043,1.0
SN05eq,dup,B,SN05eq_B_comb_dup.fits,0.23,0.029,12,0.9412286017117675,0.3997029852442066,0.23235775779797893,1.0
SN05eq,dup,V,SN05eq_V_comb_dup.fits,0.23,0.029,15,0.856838166063649,0.36386566687833155,0.2115245910506766,1.0
SN05gj,dup,V,SN05gj_V_comb_dup.fits,0.23,0.062,15,1.0013622802146716,0.42523940728622034,0.5081835734279265,1.0
