object,z,radius_kpc,B,V,instrumental_B_minus_V
SN09ab,0.011,4.0,220581.4655704128,746774.4337011735,1.3240510582034308
SN09ab,0.011,4.5,302529.1692335097,990991.2701259606,1.2882564348051906
SN09ab,0.011,5.0,391461.3678013617,1265034.7364630671,1.2735338542290702
SN09ab,0.011,5.5,490306.7152235173,1574495.870932115,1.2666842117025936
SN09ab,0.011,6.0,595020.0888724582,1913513.421548468,1.2682497106668755
SN09ab,0.011,6.5,707029.8074310191,2281053.056059937,1.2717441584786628
SN09ab,0.011,7.0,840739.3344720147,2708853.9632046125,1.270310564606205
SN09ab,0.011,7.5,998386.6334806116,3218392.2398829004,1.2708505360304336
SN09ab,0.011,8.0,1207886.171208043,3870214.5113026416,1.2642725695407768
SN09ab,0.011,8.5,1483708.5734437397,4782098.024352427,1.270674669763103
SN09ab,0.011,9.0,1698764.0092323474,5487429.778950461,1.2730898112110456
SN09ab,0.011,9.5,1860672.398199585,6023418.448885053,1.2754327989608618
SN09ab,0.011,10.0,2004855.8082532603,6489838.706240146,1.2753769005459565
SN09ad,0.028,1.0,17828.120765042393,42730.32101786416,0.9490764706515811
SN09ad,0.028,1.5,37917.50788218796,93450.87481658236,0.9793589638823037
SN09ad,0.028,2.0,65717.53058664776,161977.04281640804,0.9794305748179797
SN09ad,0.028,2.5,99176.84780012982,244508.41703540285,0.9797087832180613
SN09ad,0.028,3.0,136586.38840150076,337329.3126284775,0.9816166493387097
SN09ad,0.028,3.5,179080.50313421694,442301.62256086594,0.9816755666946103
SN09ad,0.028,4.0,227702.71360720985,560685.1177829317,0.9783770563395631
SN09ad,0.028,4.5,279784.8259680136,691204.4236013917,0.9819558797794059
SN09ad,0.028,5.0,339953.88001908374,839016.1084328195,0.9808757417775994
SN09ad,0.028,5.5,407098.5923723736,1006701.9265381322,0.9830032475200972
SN09ad,0.028,6.0,467827.8892490852,1170460.0044698,0.9956761742081526
SN09ad,0.028,6.5,521940.9892013248,1314682.7932957096,1.0029989364023735
SN09ad,0.028,7.0,572150.1091092972,1445199.391583992,1.006044462414906
SN09ad,0.028,7.5,620714.5556691517,1567731.2982906238,1.0059492476569094
SN09ad,0.028,8.0,664816.5985331242,1678339.8895870456,1.005445156796938
SN09ad,0.028,8.5,705296.2210770829,1779156.758115121,1.0046066442385444
SN09ad,0.028,9.0,742026.9529585656,1871697.008973681,1.0045396642695839
SN09ad,0.028,9.5,774992.8208304829,1955253.3409453395,1.004763393039232
