object,offset_kpc,n_radii,rho_colour_vs_radius,slope_mag_per_kpc,colour_range,step_at_nucleus_entry,offset_bin
SN07hj,4.460958441773122,19,-0.39122807017543854,-0.003179368292168613,0.0635042880473855,-0.024122598858077993,"(2.0, 5.0]"
SN07hx,0.2169066955695104,19,-0.5859649122807017,-0.006627708179935189,0.1001963409712967,,"(0.0, 2.0]"
SN07jd,7.187969952756879,19,0.28070175438596495,0.0012643098806637404,0.05328448982325984,0.019480203716675693,"(5.0, 10.0]"
SN07jg,0.2761071412011406,19,-0.20175438596491227,-0.011872720165677942,0.5107373976726137,,"(0.0, 2.0]"
SN07jh,3.9393831976739695,19,0.4929824561403509,0.006424884395932817,0.06555056562698058,0.05068927098536857,"(2.0, 5.0]"
SN07le,2.5044430097821264,19,-1.0,-0.012888988913279577,0.12088543635347793,-0.06741750121977219,"(2.0, 5.0]"
SN07nq,19.26360582944707,19,-0.9596491228070174,-0.020768018450862805,0.16793785404792194,,"(10.0, 45.0]"
SN07on,5.139013420573674,19,-0.010526315789473684,0.001914048714372843,0.11394653575044233,-0.018999164675060243,"(5.0, 10.0]"
SN07so,4.683590214096783,19,0.25263157894736843,0.0026701410844600522,0.07864014125699392,0.01975555791631578,"(2.0, 5.0]"
SN07st,2.6063283345659194,19,-0.9947368421052631,-0.01616111754237095,0.13597475416423432,-0.07573193149017188,"(2.0, 5.0]"
SN07ux,4.228274971881828,19,0.9578947368421052,0.011916741739359882,0.09559215964322298,0.07015238795588652,"(2.0, 5.0]"
SN08C,1.2734019674645412,19,-0.7964912280701755,-0.015430045773812243,0.17520987445276104,,"(0.0, 2.0]"
SN08J,2.453889338343463,19,-0.9596491228070174,-0.008190797233064156,0.06861654988327082,-0.025776308490743083,"(2.0, 5.0]"
SN08O,5.581517218047323,19,-0.7403508771929824,-0.002253705253504025,0.02266683552790494,-0.012835275962876258,"(5.0, 10.0]"
SN08R,3.97031338626086,19,-0.6035087719298246,-0.004843306009383657,0.044649152465355835,-0.027964709196443893,"(2.0, 5.0]"
SN08ae,7.290388251462027,19,0.8578947368421052,0.012640708131592102,0.09550074291671884,0.08017808639190138,"(5.0, 10.0]"
SN08ar,3.256971274640432,19,-0.03859649122807017,0.0016688801392090694,0.06068703854494639,0.019655351427698142,"(2.0, 5.0]"
SN08bc,5.837285227343676,19,0.38421052631578945,0.004229333483478345,0.20893285153353036,0.037544330240344426,"(5.0, 10.0]"
SN08bd,3.476056584784479,19,0.34912280701754383,0.002838834196971731,0.03282869792425047,0.021986489275787724,"(2.0, 5.0]"
SN08bi,0.8880200923875899,19,-0.6982456140350877,-0.004080444503371302,0.04545331260860275,,"(0.0, 2.0]"
SN08bq,8.596878571658694,19,0.9666666666666668,0.01731912903262358,0.1623277138940611,0.092478404944355,"(5.0, 10.0]"
SN08bt,5.021429190458327,19,0.524561403508772,0.0026948747871320816,0.04982107834572158,0.014867143783559689,"(5.0, 10.0]"
SN08bz,7.884809504474586,19,0.7842105263157895,0.026123590482392555,0.28995030414089995,0.11230010426099313,"(5.0, 10.0]"
SN08cc,1.7807744532367855,19,0.4280701754385965,0.007829110828900908,0.1319312337789338,,"(0.0, 2.0]"
SN08cd,0.6434768916229315,19,0.9035087719298246,0.0028684148136500155,0.039550479744148936,,"(0.0, 2.0]"
SN08cf,3.130582379372105,19,-0.24912280701754386,-0.0011342186731608994,0.04823381049049147,0.00981762476477166,"(2.0, 5.0]"
SN08fl,6.251551236466852,19,-0.9175438596491228,-0.003980730414958125,0.03512381674334719,-0.02463481731197592,"(5.0, 10.0]"
SN08fp,2.256755299151369,19,-0.8105263157894737,-0.009957088798431862,0.15337345835787486,-0.027350787228963114,"(2.0, 5.0]"
SN08fr,0.5569684690149783,19,-0.9684210526315788,-0.02515261712145243,0.320753441610433,,"(0.0, 2.0]"
SN08fu,2.7252262428548657,19,-0.987719298245614,-0.018778903009841197,0.14609074640017572,-0.09531328243959414,"(2.0, 5.0]"
SN08gg,20.90553734761078,13,-0.4230769230769231,-0.17992383704068243,2.4799307031553814,,"(10.0, 45.0]"
SN08gl,16.53074971664589,19,0.28771929824561404,0.013614065080632625,0.19504870384168183,,"(10.0, 45.0]"
SN08go,18.113050936253185,19,0.6087719298245614,0.017199163095675325,1.3151391742409952,,"(10.0, 45.0]"
SN08gp,11.71003791624436,19,-0.9684210526315788,-0.012848808221369447,0.10554805310719173,,"(10.0, 45.0]"
SN08hj,15.579575384152529,19,-0.11754385964912278,-0.0018965563504172867,0.14144064472881546,,"(10.0, 45.0]"
SN08hu,7.241702660459194,19,0.2175438596491228,0.010111510382596327,0.4366864146286027,0.198835524271751,"(5.0, 10.0]"
SN08ia,2.1718515546224664,19,-0.8315789473684211,-0.015625235622540777,0.12480357007545217,-0.105920430359572,"(2.0, 5.0]"
SN09F,3.0838624079588297,19,0.28421052631578947,0.0048595786783305756,0.07321204291533623,0.03609370837765424,"(2.0, 5.0]"
SN09I,6.35624717909271,19,-0.543859649122807,-0.0075465754679152255,0.10112648714710559,-0.011966620589082044,"(5.0, 10.0]"
SN09P,1.3600315984189688,19,-0.9789473684210527,-0.01064737064758029,0.07961568347722114,,"(0.0, 2.0]"
SN09Y,4.825222950245404,19,0.4456140350877193,0.00801967485622285,0.2702596596339736,0.03475605586296282,"(2.0, 5.0]"
SN09ab,8.323022005572936,19,-0.5596491228070175,-0.055546715420203084,0.758951334112675,0.00782801691698043,"(5.0, 10.0]"
SN09ad,5.510444511396191,19,0.7456140350877193,0.0034286558590008566,0.04992076587590999,0.016438656449983546,"(5.0, 10.0]"
SN09cz,7.999840801021878,19,0.9175438596491228,0.0037950787163892113,0.047939160261389224,0.015787568479462277,"(5.0, 10.0]"
SN09dc,2.1737755456541583,19,-0.980701754385965,-0.03765611878028913,0.5094740737084507,-0.16646260669943236,"(2.0, 5.0]"
SN09ds,5.232647042076666,19,0.22807017543859648,0.00417976994135168,0.10804043463510227,0.008078721763393748,"(5.0, 10.0]"
SN09le,5.8423684972201055,19,0.6736842105263158,0.007723640074987732,0.104140695635768,0.039775448376924705,"(5.0, 10.0]"
SN2011iv,1.2147505613204763,19,-0.9964912280701754,-0.026051526027166268,0.19026696490820583,,"(0.0, 2.0]"
SN2011jh,2.726288777437604,19,-0.9894736842105263,-0.00535680326140687,0.0645797183807294,-0.021411610198603603,"(2.0, 5.0]"
SN2011jn,19.320202858395863,19,0.787719298245614,0.13577084395536732,1.6316144683948877,,"(10.0, 45.0]"
SN2011jt,8.913294308082572,19,-0.8122807017543859,-0.047858752941558905,0.7098929566348969,-0.13578124205654307,"(5.0, 10.0]"
SN2012G,1.7222062352782683,19,0.4666666666666667,0.013978357267695692,0.5856909675536038,,"(0.0, 2.0]"
SN2012U,2.8961784316035417,19,-0.6859649122807018,-0.0037562033351942127,0.047458958609111646,-0.0019652625285973002,"(2.0, 5.0]"
SN2012aq,0.1287445705934463,14,0.9340659340659341,0.20253283031892982,2.209276744359922,,"(0.0, 2.0]"
SN2012ar,16.072481803140303,17,-0.4803921568627451,-0.3550734311479021,5.374438412680913,,"(10.0, 45.0]"
SN2012bl,7.0584207807038615,19,0.7719298245614035,0.01796610818068978,0.30920284525640884,0.05404547279607086,"(5.0, 10.0]"
SN2012bo,6.426044803105958,19,0.780701754385965,0.017272923160562035,0.2489179823826828,0.09122305963778099,"(5.0, 10.0]"
SN2012gm,2.093513293912169,19,0.6333333333333333,0.008587309467897769,0.1644788016675821,0.00845254985159194,"(2.0, 5.0]"
SN2012hl,1.567596326296543,19,0.9456140350877192,0.019687879968721744,0.24013357094907728,,"(0.0, 2.0]"
SN2012id,5.950705900358186,19,-0.06666666666666667,-0.0006461495511958546,0.08100635658831212,-0.003804961061343981,"(5.0, 10.0]"
SN2012ij,1.1113310656837114,19,0.8350877192982457,0.006108594181295678,0.05119331816285988,,"(0.0, 2.0]"
SN2013fy,11.015440470462597,19,-0.23333333333333334,-0.0010628679367980882,0.14966997200989418,,"(10.0, 45.0]"
