telescope,filter,file,n_stars,median,mean,std,max,mad_sigma,flag_high_scatter,flag_very_soft,flag_few_stars,any_flag
dup,V,LSQ14fms_V_comb_dup.fits,25,0.9923514769977732,1.0707964656511255,0.2513425772075766,2.0326692373355426,0.034510736886989,False,False,False,False
dup,B,SN2013fy_B_comb_dup.fits,25,0.990982610979162,1.00668322312041,0.0553109681862453,1.2248531639715894,0.0329772077780588,False,False,False,False
dup,B,SN06et_B_comb_dup.fits,18,0.9907637990614866,0.8034747435594891,0.4537014642491062,1.6536145722287712,0.8336268457102187,True,False,False,True
dup,V,LSQ12hzj_V_comb_dup.fits,25,0.990424296802486,1.0266500444283455,0.1444431782650352,1.5057695169745702,0.0974785234357109,False,False,False,False
dup,V,SN05gj_V_comb_dup.fits,22,0.9889644735472092,0.8238889488759359,0.3535319957001183,1.5278629384583964,0.052757140730461,False,False,False,False
dup,B,LSQ12hvj_B_comb_dup.fits,25,0.9886232448111724,0.9966506555830908,0.0712348355127108,1.2067911873359995,0.0628252325461948,False,False,False,False
dup,V,SN08fw_V_comb_dup.fits,25,0.9859460131816632,1.0704395295301417,0.1759704808268063,1.4753256440974922,0.0545121591519033,False,False,False,False
dup,B,LSQ14auy_B_comb_dup.fits,25,0.9839859040856376,1.0117851121747783,0.1491060432427215,1.6884791676733706,0.0618911755299775,False,False,False,False
dup,V,ASAS15cb_V_comb_dup.fits,23,0.9791692331875014,1.0475558678432797,0.2671827349777476,1.8598322254432416,0.0252211130437715,False,False,False,False
dup,B,CSP13aax_B_comb_dup.fits,25,0.978939769095723,1.016917971855209,0.2708702909901951,2.1072040583960834,0.0272125286708684,False,False,False,False
dup,V,ASAS15as_V_comb_dup.fits,25,0.9772251819903984,1.053877188282468,0.2478851400340719,2.137085220314172,0.0455341345439919,False,False,False,False
swo,V,CSP13C_V_comb_swo.fits,25,0.9770864450826984,0.9997827587564324,0.2238672858752612,1.5174310396036723,0.1364787147214472,False,False,False,False
